Tender Title,Description,Location,Opening Date,Closing Date,Tender Amount,Tender Link
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Solapur District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 30.5 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-103f3ea5-09d4-4e9f-8a5d-7ee9339b65c6?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Kolhapur District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 26.1 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-1facdacf-eb77-4a2b-becd-2d25ed6cfd59?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Sangli District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 21.6 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-6ffe4bcf-f314-4558-b8b8-7c250ee93a45?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Aurangabad District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 28.2 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-e032a3fb-429a-45be-a925-f330a658eca1?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Ratnagiri District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 9.6 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-e264deda-7d25-4b58-95e4-2bcae8a38694?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Latur District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 24.3 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-8a1dd64e-8dc2-4697-b738-777d50530555?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Raigad District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 16 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-d452cc32-17ce-4262-b0c8-0252be997c0a?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Jalgaon District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 40.3 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-d5458ea8-d2b1-43ca-a427-c0753968933c?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Parbhani District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 18.8 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-be6290d8-00e5-4e76-b735-ed5fe24c4e6c?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Osmanabad District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 14.5 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-a782806e-8724-46b2-a407-e7949266ba81?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Dhule District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 15.7 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-3339b1da-ea0f-418d-b78d-febdafed6f9a?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Amravati District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 16.9 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-7105f943-ffae-410d-b24d-2d1e7000b852?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Jalna District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 18.4 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-7465ee88-3875-4ad5-ac98-d43f0722612a?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Palghar District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 14.3 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-96c01299-250c-44ae-bf24-ccec6d7bdaa3?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Hingoli District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 12.1 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-4278461d-0311-4f5f-8339-00e76e0bdb62?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Gondia District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 8.5 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-036ede36-2503-47c8-8fe9-d524862ee592?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Nashik District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 36.9 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-1e42a21a-643d-4d71-98ed-d9ff5f5a3484?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Gadchiroli District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 7.2 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-27b5e8f7-229a-47e5-b137-3066607656ab?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Yeotmal District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 21.6 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-ad5756f2-6d64-49cf-9fb3-4e02575163d4?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Beed District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 26.7 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-bef41b96-e287-4f61-aa58-4562860706d8?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Akola District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 9.3 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-b785c5f6-8e6d-4646-994d-db400e6513c3?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Satara District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 20.6 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-c8fa9a11-4b48-46da-b7fa-258e24a21228?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Bhandara District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 8.5 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-e35e5f27-b2c2-46de-92f0-b6d34712ed7b?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Nanded District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 33.8 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-675cc5d4-c681-4b3b-82a3-2dc92ed68e8a?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Buldhana District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 21.5 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-86695c2b-8f08-44c0-b7f0-416509034dce?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,"DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Supply Of Other Food Grains, Pulses, Oil, Spices And Condiments To Schools Under Mid-day Meal Scheme In Thane District Of Maharashtra","Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 21.2 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-8d8741bf-0486-4a1e-8d66-fc9689d262d2?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Primary Education Pune Tender,DPEMS/FOODGRAIN/ET/2020-21 - Transportation Of Rice From Fci Godowns To School And Central Kitchen Under Mid-day Meal Scheme In Mumbai District Of Maharashtra,"Pune, Maharashtra",18 Mar 2021,11 May 2021,₹ 2 Cr,https://bidassist.com/all-tenders/directorate-of-primary-education-pune/detail-d3f33ee3-5746-4db4-ac10-95639c0a6e94?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Airports Authority Of India - AAI Tender,AAI/BA/COMML/STFFCafe/2021 - Short Term Stopgap License For Fast Food Cafeteria At Car Park Area Outside New Domestic Terminal Building T1 Biju Patnaik International Airport Bhubaneswar,"Khordha, Odisha",15 Apr 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/airports-authority-of-india/detail-26a66bd3-dc00-4b68-9c71-3640e82c8dd4?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Airports Authority Of India - AAI Tender,AAI/BA/COMML/FastFoodCafe/2021 - Nit For Operation Of Fast Food Cafeteria At Car Park Area Outside New Domestic Terminal Building T1 Biju Patnaik International Airport Bhubaneswar,"Khordha, Odisha",02 Apr 2021,30 Apr 2021,₹ 40.7 K,https://bidassist.com/all-tenders/airports-authority-of-india/detail-bac189f3-92d1-424f-b5e6-bfdbf0e9aa3c?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department of Horticulture Tender,"206/HDS-PP/2021-22, Dated 20.04.2021 - Supply Of Micronutrient For Fruits And Vegetables Foliar Spray Uttarakhand Grade","Almora, Uttarakhand",23 Apr 2021,18 May 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-horticulture/detail-5a0bdc9d-c2c6-49ee-80b2-2b6ae9829bd9?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department of Horticulture Tender,"206/HDS-PP/2021-22, Dated 20.04.2021 - Supply Of Micronutrient For Fruits And Vegetables Soil Application Uttarakhand And Up Grade","Almora, Uttarakhand",23 Apr 2021,18 May 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-horticulture/detail-9b1bfcfe-2066-43bb-835a-654084cc88b5?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Micro Small And Medium Enterprises - MSME Tender,GEM/2021/B/1157156 - Construction Of Cafeteria,"Gaya, Bihar",09 Apr 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/ministry-of-micro-small-and-medium-enterprises/detail-8c74be1d-8c21-430b-8658-92ddfc0f3434?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Indian Institute Of Management - IIM Tender,IIMKASHIPUR/PUR DEPTT/NIT/01/2021-22 DT 20 APR 21 - Tender For Cafeteria Services,"Udham Singh Nagar, Uttarakhand",20 Apr 2021,25 May 2021,Refer Documents,https://bidassist.com/all-tenders/indian-institute-of-management/detail-f12e8063-eeda-425b-bbe1-acb278a8283e?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Revenue - DOR Tender,4101 - Tender For Canteen Service,"Kamrup, Assam",13 Apr 2021,03 May 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-revenue/detail-5bfc1fd0-d6e8-458c-b5b8-763d1f05b383?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Civil Hospital Sundernagar Tender,"Dpr/Hp/339 - Tender for Running Of Canteen
","Mandi, Himachal Pradesh",20 Apr 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/civil-hospital-sundernagar/detail-c9ae568f-21c3-43ce-8436-b3f54f4ad405?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
National Textile Corporation Limited - NTC Tender,NTC/011501 - E-tender For Canteen Provisions,"Coimbatore, Tamil Nadu",19 Apr 2021,29 Apr 2021,₹ 1 Lac,https://bidassist.com/all-tenders/national-textile-corporation-limited/detail-34aa0631-71d3-41d9-9990-069c890e5da8?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Shaheed Dalbir Singh Government College Tender,"1031/11/15/2022/2602/31/4 - Running Of Canteen On Rent Basis
","Sonipat, Haryana",17 Apr 2021,06 May 2021,Refer Documents,https://bidassist.com/all-tenders/shaheed-dalbir-singh-government-college/detail-b369b304-6eaf-4575-8297-f5f5e43e6e82?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Textiles Tender,GEM/2021/B/1145924 - Custom Bid For Services - Canteen Tender,"Burhanpur, Madhya Pradesh",26 Mar 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/ministry-of-textiles/detail-9efd0684-9a60-45fc-9047-9992b055829b?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
District Magistrate khowai Tender,"F.no.vi(54)/dm/khw/naz/sa-tender/shadow/2018-19/4811-24 - Tender for Lease Of Office Canteen
","West Tripura, Tripura",12 Apr 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/district-magistrate-khowai/detail-c366c07b-09a8-4680-8c98-e26ea55c3882?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Government College Sonipat Tender,"2602 - Tender for Running Of Canteen On Rent Basis
","Sonipat, Haryana",15 Apr 2021,06 May 2021,Refer Documents,https://bidassist.com/all-tenders/government-college-sonipat/detail-78ed6d4d-bbab-470b-92a8-d099efaea59f?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Karnataka State Road Transport Corporation - KSRTC Tender,"KST/CDG/TR/COM/03-07/2021 - Chitradurga Depot Canteen,","Chitradurga, Karnataka",06 Apr 2021,18 May 2021,Refer Documents,https://bidassist.com/all-tenders/karnataka-state-road-transport-corporation/detail-63688571-f394-46ac-a8c5-6db7dfb57439?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
National Institute Of Fashion Technology - NIFT Tender,01/NIFT/MUM/PO/2021-22 - Mess And Canteen Services,"Raigarh, Maharashtra",12 Apr 2021,03 May 2021,Refer Documents,https://bidassist.com/all-tenders/national-institute-of-fashion-technology/detail-c67d19a8-480d-425e-8127-b8b1b1589c16?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Gandhinagar Municipal Corporation Tender,"70/2020-2021 - Tender for Running Of Canteen Service For 11 Month
","Gandhinagar, Gujarat",12 Apr 2021,10 May 2021,Refer Documents,https://bidassist.com/all-tenders/gandhinagar-municipal-corporation/detail-893f9201-a172-4287-b354-29d5e10bf9a6?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
District Hospital rudraprayag Tender,"92/E-nivida/2021-22 - Service Procurement For Catering, (Canteen) Mess
","Rudraprayag, Uttarakhand",12 Apr 2021,10 May 2021,Refer Documents,https://bidassist.com/all-tenders/district-hospital-rudraprayag/detail-fa1db123-13b7-4689-9c49-0e5540396947?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Defence - MOD Tender,GEM/2021/B/1179655 - Custom Bid For Services - Canteen Contract,"Kolar, Karnataka",19 Apr 2021,10 May 2021,₹ 9.1 Cr,https://bidassist.com/all-tenders/ministry-of-defence/detail-a415ef7a-eeab-4c1b-8ea9-1d4c0cec353a?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Unique Identification Authority Of India - UIDAI Tender,HQ-11014(16)/1/2020-ADMIN-HQ - Catering Management Service And Running Of Canteen,"Delhi, Delhi",16 Apr 2021,10 May 2021,Refer Documents,https://bidassist.com/all-tenders/unique-identification-authority-of-india/detail-73ba5d80-f2b9-4b97-9a84-3525a080265f?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
